ticket_text,category,priority
"To whom it may concern, I forgot my password and the reset link isn't arriving in my inbox, can you help? Looking forward to your response.",Account,Medium
"Hi, The icon in the top right looks slightly misaligned on my screen, not urgent though. Looking forward to your response.",Technical,Low
"Hi, Can you recommend accessories that go well with this product? Thank you.",Product,Low
"Hi team, Can you tell me more about the warranty coverage for this product? Looking forward to your response.",Product,Medium
"Hey, What's the process to permanently delete my account if I ever wanted to? Thank you.",Account,Low
Can I schedule a specific delivery time for my package? Looking forward to your response.,Shipping,Low
"After the recent update, the notification settings reset to default, can you help me fix this? Please advise.",Technical,Medium
"Hi team, My order shows as lost in transit and I need it replaced immediately, this was time sensitive. Looking forward to your response.",Shipping,High
"To whom it may concern, My credit card was billed for $49.99 but I cancelled last week, please fix this urgently, I need my money back now. Thanks.",Billing,High
"To whom it may concern, My last payment of $120.00 didn't seem to go through, can you confirm if it was received? Please advise.",Billing,Medium
"Hi, I think my account has been hacked, there are login attempts I don't recognize, please secure it right now. Looking forward to your response.",Account,High
"I need to add a second user to my account, how do I do that? Thank you.",Account,Medium
"Hi team, Just wondering when my next billing date is.",Billing,Low
I'd like to change my shipping address before the order ships out. Thanks.,Shipping,Medium
"Production is down, we are getting a 500 error on every request since this morning, please help ASAP.",Technical,High
"Hey, The instructions manual seems to be missing a few pages, can you send me a digital copy? Thanks.",Product,Medium
"Hi, Can I combine two separate orders into a single shipment to save on shipping costs? Looking forward to your response.",Shipping,Medium
"To whom it may concern, I cannot log in at all, it just says 'server error' and my whole team is stuck, this is extremely urgent.",Technical,High
"Hi, Just checking, can I have multiple accounts under the same email? Please advise.",Account,Low
What are the shipping costs for orders over a certain amount? Thank you.,Shipping,Low
"Hi, The delivery is a week late and I have already reached out twice with no response, this needs urgent attention.",Shipping,High
"Hi, Do you ship to PO boxes? Thanks.",Shipping,Low
"Hey, The tracking hasn't updated in three days, can you check on the status?",Shipping,Medium
"Hello, My credit card was billed for $300.00 but I cancelled last week, please fix this urgently, I need my money back now. Please advise.",Billing,High
"Hello, I'm having trouble syncing my data between the mobile app and the desktop version. Thank you.",Technical,Medium
"Hey, My account has been locked and I cannot access anything, I need this resolved immediately, I have an important deadline. Thank you.",Account,High
"Hi, I paid extra for express shipping but it still hasn't arrived and it's already 3 days late, this is urgent. Looking forward to your response.",Shipping,High
"Hi team, I cannot log in at all, it just says 'server error' and my whole team is stuck, this is extremely urgent. Please advise.",Technical,High
"To whom it may concern, Do you have this product in other colors? Looking forward to your response.",Product,Low
"Hi, I'm getting an error message when I try to export my report to PDF.",Technical,Medium
"Hey, Can I schedule a specific delivery time for my package? Looking forward to your response.",Shipping,Low
"The tracking hasn't updated in three days, can you check on the status? Thanks.",Shipping,Medium
"The product I received is completely broken and unusable, I need a replacement urgently before my event this weekend. Please advise.",Product,High
"Hey, I noticed a charge of $49.99 on my statement that I don't recognize, can you explain what it's for? Thanks.",Billing,Medium
"The instructions manual seems to be missing a few pages, can you send me a digital copy?",Product,Medium
"Hey, Can you recommend accessories that go well with this product? Thank you.",Product,Low
"Hey, The app keeps crashing every time I open it and I cannot access any of my data, this is blocking my work completely. Thanks.",Technical,High
"To whom it may concern, I noticed a charge of $15.50 on my statement that I don't recognize, can you explain what it's for?",Billing,Medium
Is it possible to change my username later on? Thank you.,Account,Low
"Hey, Is there a discount available if I refer a friend? Looking forward to your response.",Billing,Low
"Hi, The system deleted all my saved files after the last update, I need this fixed today, I'm losing work. Looking forward to your response.",Technical,High
Just wondering what shipping carriers you typically use.,Shipping,Low
I'd like to change my shipping address before the order ships out.,Shipping,Medium
"My credit card was billed for $89.00 but I cancelled last week, please fix this urgently, I need my money back now. Please advise.",Billing,High
"Hello, Is there a discount available if I refer a friend? Thanks.",Billing,Low
"Hey, I'm getting an error message when I try to export my report to PDF. Looking forward to your response.",Technical,Medium
"Hi, Can I combine two separate orders into a single shipment to save on shipping costs? Thanks.",Shipping,Medium
"Hi, Someone changed my account email without my permission, please restore access immediately, this is a security issue.",Account,High
"To whom it may concern, I was charged twice for my subscription this month and need a refund immediately, this is unacceptable. Looking forward to your response.",Billing,High
"Hi team, I was suddenly logged out of all devices and cannot get back in, this is urgent as I need it for a live event today. Thanks.",Account,High
"Hi team, Can you tell me more about the warranty coverage for this product? Thanks.",Product,Medium
"To whom it may concern, Critical bug: the checkout page throws an error and no customers can complete a purchase right now. Please advise.",Technical,High
"To whom it may concern, Is there a keyboard shortcut to quickly search within the app? Thanks.",Technical,Low
"Hello, I cannot log in at all, it just says 'server error' and my whole team is stuck, this is extremely urgent. Looking forward to your response.",Technical,High
"Hey, I received the wrong item entirely and I need the correct one urgently, this was for a time sensitive gift. Looking forward to your response.",Product,High
"Hey, My order shows as lost in transit and I need it replaced immediately, this was time sensitive.",Shipping,High
"Hello, The product I received is completely broken and unusable, I need a replacement urgently before my event this weekend. Thanks.",Product,High
"Hey, The icon in the top right looks slightly misaligned on my screen, not urgent though.",Technical,Low
"Hey, What payment methods do you currently accept? Thank you.",Billing,Low
"The dashboard is loading very slowly today, is there a known issue? Thanks.",Technical,Medium
"To whom it may concern, The dashboard is loading very slowly today, is there a known issue? Looking forward to your response.",Technical,Medium
"Hey, Critical bug: the checkout page throws an error and no customers can complete a purchase right now.",Technical,High
"Emergency: an unauthorized charge of $250.00 just appeared on my card, please investigate and refund immediately.",Billing,High
"Hello, How do I download my past receipts from the billing portal?",Billing,Low
Is there a user community or forum for tips on using this product?,Product,Low
"Hello, I would like to update my billing address and payment method on file. Please advise.",Billing,Medium
"Hey, Do you ship to PO boxes? Thanks.",Shipping,Low
"Hi, How do I change my display name on my profile? Thank you.",Account,Low
"To whom it may concern, I would like to update my billing address and payment method on file. Please advise.",Billing,Medium
"The instructions manual seems to be missing a few pages, can you send me a digital copy? Thanks.",Product,Medium
"Hey, Just wondering what shipping carriers you typically use. Thanks.",Shipping,Low
"Hey, I need to add a second user to my account, how do I do that? Please advise.",Account,Medium
"I forgot my password and the reset link isn't arriving in my inbox, can you help? Thank you.",Account,Medium
"To whom it may concern, Is there a keyboard shortcut to quickly search within the app? Thank you.",Technical,Low
"Hey, My order shows as lost in transit and I need it replaced immediately, this was time sensitive. Please advise.",Shipping,High
"Hi, Someone changed my account email without my permission, please restore access immediately, this is a security issue. Please advise.",Account,High
"Hello, I need to add a second user to my account, how do I do that? Thanks.",Account,Medium
"Hi team, Just wondering what shipping carriers you typically use. Thanks.",Shipping,Low
"Hi, Just a small suggestion, it would be nice if the font size could be adjusted in settings.",Technical,Low
"Hello, I'd like to change my shipping address before the order ships out. Thank you.",Shipping,Medium
"Hey, How do I download my past receipts from the billing portal? Please advise.",Billing,Low
"Hello, I received the wrong item entirely and I need the correct one urgently, this was for a time sensitive gift.",Product,High
How do I enable dark mode in the app?,Technical,Low
"The product doesn't quite match the description on the website, can you clarify the specifications? Thank you.",Product,Medium
"Just checking, can I have multiple accounts under the same email? Thank you.",Account,Low
"Hello, How do I change my display name on my profile? Please advise.",Account,Low
"After the recent update, the notification settings reset to default, can you help me fix this? Thank you.",Technical,Medium
"Hi team, The search feature is returning irrelevant results, can someone look into this?",Technical,Medium
"I was charged twice for my subscription this month and need a refund immediately, this is unacceptable. Thanks.",Billing,High
"Hi, I think my account has been hacked, there are login attempts I don't recognize, please secure it right now. Thanks.",Account,High
"Hi team, How do I enable dark mode in the app? Looking forward to your response.",Technical,Low
"The app keeps crashing every time I open it and I cannot access any of my data, this is blocking my work completely.",Technical,High
"To whom it may concern, The courier left my package outside in the rain and it's completely damaged, I need a resolution right away. Looking forward to your response.",Shipping,High
"Hi team, I paid extra for express shipping but it still hasn't arrived and it's already 3 days late, this is urgent. Looking forward to your response.",Shipping,High
"The icon in the top right looks slightly misaligned on my screen, not urgent though.",Technical,Low
"The tracking hasn't updated in three days, can you check on the status? Thank you.",Shipping,Medium
Can I schedule a specific delivery time for my package? Thanks.,Shipping,Low
"Hi, I forgot my password and the reset link isn't arriving in my inbox, can you help?",Account,Medium
"Hello, This is a safety issue, the device overheated and started smoking, please advise immediately. Thank you.",Product,High
"Hi team, My credit card was billed for $89.00 but I cancelled last week, please fix this urgently, I need my money back now.",Billing,High
"Hey, My order shows as lost in transit and I need it replaced immediately, this was time sensitive. Looking forward to your response.",Shipping,High
"Hey, The product I received is completely broken and unusable, I need a replacement urgently before my event this weekend. Thanks.",Product,High
"Hi team, Emergency: an unauthorized charge of $300.00 just appeared on my card, please investigate and refund immediately. Looking forward to your response.",Billing,High
"Hi, Major defect found, the item arrived damaged and leaking, I need an urgent replacement or refund. Thanks.",Product,High
"The product doesn't quite match the description on the website, can you clarify the specifications?",Product,Medium
"Just a small suggestion, it would be nice if the font size could be adjusted in settings.",Technical,Low
I would like to update my billing address and payment method on file. Thanks.,Billing,Medium
"Hello, Just wondering what shipping carriers you typically use. Please advise.",Shipping,Low
"To whom it may concern, Is there a user community or forum for tips on using this product? Thank you.",Product,Low
"Hi team, Can I combine two separate orders into a single shipment to save on shipping costs?",Shipping,Medium
"Hi team, Just checking, can I have multiple accounts under the same email? Please advise.",Account,Low
I'd like to know if this product is compatible with older models before I purchase an upgrade. Thanks.,Product,Medium
"Hi team, I'd like to know if this product is compatible with older models before I purchase an upgrade.",Product,Medium
"Hello, I noticed a charge of $300.00 on my statement that I don't recognize, can you explain what it's for? Looking forward to your response.",Billing,Medium
"Hi team, Is there a keyboard shortcut to quickly search within the app? Thank you.",Technical,Low
